Temperature,Vibration,Pressure,Label
97,67,62,caution
68,80,87,caution
58,57,41,caution
59,12,45,caution
2,24,12,normal
12,74,61,caution
28,71,55,caution
75,2,14,caution
25,78,96,caution
32,5,48,normal
20,67,99,caution
17,47,77,caution
60,89,18,caution
25,38,81,caution
74,18,29,caution
83,56,70,caution
28,57,44,caution
1,21,83,caution
79,84,53,caution
37,42,39,normal
61,40,84,caution
63,29,99,caution
66,13,95,caution
88,26,54,caution
43,88,94,caution
82,41,18,caution
35,98,22,caution
0,55,84,caution
32,12,36,normal
41,50,14,normal
6,17,1,normal
90,25,53,caution
29,10,12,normal
60,58,59,caution
97,45,49,caution
31,19,18,normal
51,72,76,caution
65,50,18,caution
65,57,49,caution
94,29,8,caution
38,21,96,caution
86,100,8,caution
80,79,60,caution
62,91,67,caution
36,95,55,caution
61,36,95,caution
86,30,73,caution
84,32,53,caution
94,79,57,caution
97,84,29,caution
60,85,42,caution
36,20,3,normal
70,0,32,caution
72,82,76,caution
33,5,99,caution
31,95,99,caution
99,23,90,caution
26,6,57,caution
73,43,97,caution
20,1,34,normal
14,97,35,caution
37,33,16,normal
40,84,38,caution
46,50,76,caution
88,31,68,caution
73,24,21,caution
60,11,63,caution
30,42,75,caution
58,51,86,caution
72,84,23,caution
31,34,73,caution
48,5,43,normal
76,23,2,caution
74,32,25,caution
13,39,43,normal
79,34,97,caution
46,18,43,normal
35,50,48,normal
91,41,26,caution
30,5,15,normal
77,76,73,caution
12,73,55,caution
8,32,94,caution
46,67,33,caution
27,73,86,caution
80,44,31,caution
67,75,21,caution
76,52,81,caution
97,11,61,caution
80,15,1,caution
50,52,27,caution
50,71,23,caution
12,80,29,caution
0,44,95,caution
97,74,55,caution
49,90,38,caution
58,34,68,caution
94,4,97,caution
18,8,29,normal
18,25,99,caution
1,85,100,caution
46,94,90,caution
0,52,87,caution
87,30,80,caution
95,29,0,caution
35,98,54,caution
80,75,17,caution
52,18,53,caution
98,44,15,caution
100,72,74,caution
35,19,13,normal
34,25,7,normal
78,12,69,caution
80,88,13,caution
52,12,4,caution
24,52,52,caution
61,18,85,caution
81,43,99,caution
68,11,81,caution
68,70,8,caution
13,58,38,caution
81,89,78,faulty
34,10,15,normal
67,34,20,caution
88,13,79,caution
8,17,39,normal
19,41,77,caution
15,96,9,caution
39,19,100,caution
74,18,39,caution
5,10,88,caution
56,89,15,caution
49,95,100,caution
80,53,46,caution
91,89,36,caution
62,60,68,caution
20,17,44,normal
35,45,9,normal
58,79,1,caution
3,11,92,caution
35,83,76,caution
85,47,75,caution
49,4,76,caution
91,41,73,caution
12,28,0,normal
53,92,20,caution
96,93,98,faulty
46,74,39,caution
13,7,51,caution
95,47,77,caution
3,58,12,caution
76,34,55,caution
11,27,4,normal
72,22,88,caution
17,7,95,caution
76,11,41,caution
65,57,29,caution
61,20,17,caution
86,79,21,caution
88,22,9,caution
50,90,55,caution
54,58,35,caution
38,27,3,normal
82,74,17,caution
23,6,6,normal
40,75,11,caution
5,76,25,caution
16,81,43,caution
65,41,97,caution
35,17,2,normal
79,13,43,caution
62,59,75,caution
91,70,15,caution
44,3,30,normal
47,39,21,normal
48,100,68,caution
42,24,3,normal
92,64,11,caution
31,82,24,caution
30,25,77,caution
78,61,22,caution
58,84,99,caution
74,100,0,caution
80,59,5,caution
68,87,57,caution
94,28,45,caution
92,6,27,caution
8,35,14,normal
54,45,31,caution
52,54,11,caution
10,32,25,normal
81,76,42,caution
86,14,35,caution
78,11,79,caution
91,20,3,caution
5,87,26,caution
96,4,23,caution
15,1,11,normal
51,74,94,caution
100,64,90,caution
100,16,46,caution
69,95,31,caution
28,53,28,caution
18,76,40,caution
3,85,17,caution
0,27,65,caution
79,69,82,caution
98,17,24,caution
23,11,94,caution
74,6,69,caution
68,24,42,caution
84,44,48,caution
97,43,55,caution
68,80,54,caution
52,58,0,caution
99,15,25,caution
71,33,88,caution
16,20,41,normal
93,93,6,caution
24,85,16,caution
71,32,69,caution
16,6,9,normal
46,50,85,caution
49,70,37,caution
88,20,95,caution
81,40,81,caution
35,9,61,caution
99,13,8,caution
86,15,73,caution
76,92,79,faulty
96,37,96,caution
90,40,63,caution
48,25,83,caution
79,24,43,caution
86,45,74,caution
5,40,88,caution
73,51,29,caution
29,72,90,caution
63,22,47,caution
81,3,14,caution
100,62,29,caution
74,73,49,caution
43,24,47,normal
39,19,72,caution
13,65,69,caution
70,7,38,caution
12,61,58,caution
22,96,14,caution
52,37,48,caution
5,67,88,caution
77,91,39,caution
97,55,93,caution
14,32,45,normal
60,59,16,caution
58,22,30,caution
84,25,22,caution
22,13,44,normal
24,87,96,caution
8,43,96,caution
36,82,27,caution
12,77,25,caution
90,25,55,caution
85,90,79,faulty
81,61,72,caution
20,3,85,caution
61,41,22,caution
70,16,90,caution
18,89,73,caution
76,82,73,caution
72,0,4,caution
36,67,14,caution
33,76,88,caution
35,12,90,caution
35,81,56,caution
75,9,75,caution
8,64,55,caution
34,58,8,caution
96,71,19,caution
71,65,90,caution
73,66,27,caution
15,17,43,normal
27,83,44,caution
80,39,34,caution
57,67,39,caution
73,26,97,caution
49,51,98,caution
26,55,3,caution
38,82,87,caution
62,64,37,caution
9,89,24,caution
35,11,71,caution
2,39,0,normal
78,53,45,caution
21,62,2,caution
30,74,6,caution
66,37,50,caution
0,86,75,caution
46,74,10,caution
99,13,60,caution
72,4,18,caution
45,1,27,normal
35,0,80,caution
34,65,10,caution
41,37,38,normal
31,44,23,normal
79,46,82,caution
76,60,38,caution
47,71,45,caution
58,14,8,caution
81,11,91,caution
77,20,72,caution
83,53,91,caution
62,4,68,caution
56,31,15,caution
69,54,81,caution
78,42,34,caution
83,23,26,caution
12,44,46,normal
99,39,95,caution
60,84,89,caution
94,81,38,caution
93,32,96,caution
27,35,43,normal
81,27,94,caution
49,56,55,caution
76,56,44,caution
94,3,40,caution
19,7,46,normal
39,81,23,caution
11,18,89,caution
2,28,2,normal
28,72,94,caution
37,36,78,caution
100,78,84,faulty
97,38,29,caution
0,63,25,caution
84,48,14,caution
90,39,76,caution
26,66,67,caution
75,1,73,caution
20,77,39,caution
64,48,14,caution
72,6,9,caution
96,21,73,caution
20,10,13,normal
97,44,54,caution
80,89,83,faulty
16,33,79,caution
38,81,88,caution
79,1,95,caution
16,76,60,caution
99,51,26,caution
96,76,18,caution
8,81,81,caution
75,39,100,caution
56,21,74,caution
60,73,70,caution
34,44,67,caution
90,14,98,caution
78,92,15,caution
50,39,41,normal
6,41,7,normal
64,61,67,caution
42,32,64,caution
75,1,50,caution
75,63,100,caution
62,57,55,caution
5,10,4,normal
41,43,21,normal
81,88,58,caution
33,94,74,caution
32,34,13,normal
69,2,83,caution
44,27,26,normal
50,22,9,normal
49,17,38,normal
26,15,47,normal
51,79,37,caution
34,91,18,caution
35,36,97,caution
42,75,33,caution
31,75,77,caution
82,97,58,caution
94,65,28,caution
16,66,51,caution
74,6,98,caution
19,87,12,caution
29,55,38,caution
3,74,53,caution
99,48,7,caution
53,68,62,caution
18,67,75,caution
49,66,1,caution
1,2,13,normal
71,69,87,caution
54,20,0,caution
57,67,39,caution
30,10,17,normal
14,17,48,normal
90,7,15,caution
40,27,71,caution
29,28,72,caution
3,39,69,caution
31,71,46,caution
61,29,10,caution
33,59,2,caution
91,82,92,faulty
40,48,17,normal
75,33,16,caution
87,91,26,caution
62,75,23,caution
49,5,64,caution
39,55,83,caution
39,36,87,caution
51,75,45,caution
69,63,12,caution
45,50,21,normal
55,78,65,caution
20,60,91,caution
69,100,21,caution
17,22,6,normal
29,19,63,caution
53,18,58,caution
36,97,92,caution
5,53,31,caution
78,30,31,caution
74,71,7,caution
31,54,22,caution
40,100,29,caution
44,39,59,caution
29,79,54,caution
14,21,0,normal
36,82,49,caution
93,32,5,caution
56,0,6,caution
10,75,39,caution
23,84,96,caution
50,9,98,caution
66,77,100,caution
39,8,9,normal
26,32,21,normal
66,4,74,caution
84,47,12,caution
4,71,75,caution
10,83,40,caution
85,98,98,faulty
0,78,36,caution
87,91,63,caution
91,28,90,caution
41,19,90,caution
99,32,13,caution
88,59,29,caution
25,65,51,caution
24,56,30,caution
11,7,96,caution
57,95,27,caution
23,29,12,normal
43,22,46,normal
42,59,48,caution
85,70,7,caution
56,68,72,caution
74,70,67,caution
11,7,50,normal
60,26,92,caution
29,0,57,caution
22,1,93,caution
50,98,69,caution
28,96,39,caution
63,89,31,caution
83,57,32,caution
86,92,91,faulty
36,55,50,caution
13,41,78,caution
17,22,50,normal
25,36,86,caution
24,5,1,normal
97,78,9,caution
42,60,5,caution
20,59,9,caution
29,10,4,normal
17,3,34,normal
29,21,78,caution
56,49,30,caution
64,77,75,caution
10,58,52,caution
83,74,93,caution
18,2,1,normal
99,26,36,caution
99,55,17,caution
15,48,43,normal
93,92,27,caution
37,33,48,normal
65,66,18,caution
95,35,26,caution
2,22,36,normal
0,46,6,normal
20,59,88,caution
1,10,39,normal
90,17,95,caution
30,80,37,caution
